=== overpass_pois: 593 elements; osm3s=2026-09-04T15:32:36Z
{'station': 76, 'hospital': 373, 'other': 63, 'fire_station': 11, 'government': 43, 'school': 4, 'library': 1, 'pumping_station': 13, 'tunnel': 5, 'parking': 2, 'wastewater_plant': 1, 'cinema': 1}
{'other': 61, 'hospital': 4, 'pumping_station': 38, 'parking': 2, 'college': 1, 'government': 6, 'school': 4, 'wastewater_plant': 3, 'water_works': 1}
  node/4625570573 | Bhandup Pumping Centre |  | 19.15447 72.95811 | admin_level= | operator=
  node/4644026834 | Bhandup Pumping Centre |  | 19.15436 72.95805 | admin_level= | operator=
  node/10247412242 | Bhandup Pumping Centre |  | 19.15551 72.95722 | admin_level= | operator=Thane Muncipal Transport
  node/10251478061 | Bhandup Pumping Centre |  | 19.15374 72.95667 | admin_level= | operator=Thane Muncipal Transport
  node/10786769351 | Bhandup Pumping Centre |  | 19.15547 72.95719 | admin_level= | operator=BEST
  node/11716428236 |  | pumping_station | 19.03941 72.91225 | admin_level= | operator=
  node/14125092870 | BMC Sant Sawta Marg Sewage Water Pumping Station | pumping_station | 18.97576 72.84374 | admin_level= | operator=MCGM
  node/14125092871 | BMC Tank Bunder Sewage Water Pumping Station | pumping_station | 18.97597 72.84593 | admin_level= | operator=MCGM
  node/14125092872 | BMC Mazgaon Sewage Water Pumping Station | pumping_station | 18.96462 72.84668 | admin_level= | operator=MCGM
  node/14125092873 | BMC Carol Road Sewage Water Pumping Station | pumping_station | 19.00698 72.83521 | admin_level= | operator=MCGM
  node/14125092874 | BMC Tulsi Pipe Sewage Water Pumping Station | pumping_station | 18.99781 72.82749 | admin_level= | operator=MCGM
  node/14125092875 | BMC Globe Mill Sewage Water Pumping Station | pumping_station | 19.00496 72.82315 | admin_level= | operator=MCGM
  node/14125092876 | BMC Wylie Road Sewage Water Pumping Station | pumping_station | 18.97484 72.82425 | admin_level= | operator=MCGM
  node/14125092877 | BMC Cleaveland Sewage Water Pumping Station | pumping_station | 19.01669 72.81793 | admin_level= | operator=MCGM
  node/14125092878 | BMC Mahim Sewage Water Pumping Station | pumping_station | 19.02520 72.84516 | admin_level= | operator=MCGM
  node/14125092879 | BMC Wadala Sewage Water Pumping Station | pumping_station | 19.01565 72.85809 | admin_level= | operator=MCGM
  node/14125092880 | BMC Harvey Road Sewage Water Pumping Station | pumping_station | 18.95654 72.80841 | admin_level= | operator=MCGM
  node/14125092881 | BMC Nepean Sea Road Sewage Water Pumping Station | pumping_station | 18.96021 72.80075 | admin_level= | operator=MCGM
  node/14125092882 | BMC Banganga Sewage Water Pumping Station | pumping_station | 18.94857 72.79199 | admin_level= | operator=MCGM
  node/14125092883 | BMC BKC Sewage Water Pumping Station | pumping_station | 19.06031 72.86484 | admin_level= | operator=MCGM
  node/14125092884 | BMC Kalina Sewage Water Pumping Station | pumping_station | 19.07468 72.86581 | admin_level= | operator=MCGM
  node/14125247269 | BMC Kadeshwari Sewage Water Pumping Station | pumping_station | 19.05825 72.82215 | admin_level= | operator=MCGM
  node/14125247270 | BMC Churchgate Sewage Water Pumping Station | pumping_station | 18.93032 72.82441 | admin_level= | operator=MCGM
  node/14125247271 | BMC Robert Road Sewage Water Pumping Station | pumping_station | 18.90050 72.81074 | admin_level= | operator=MCGM
  node/14125247272 | BMC Merry Weather Sewage Water Pumping Station | pumping_station | 18.91926 72.83158 | admin_level= | operator=MCGM
  node/14125247273 | BMC Kitridge Road Sewage Water Pumping Station | pumping_station | 18.91661 72.82324 | admin_level= | operator=MCGM
  node/14125247274 | BMC Deonar Sewage Water Pumping Station | pumping_station | 19.05192 72.91714 | admin_level= | operator=MCGM
  node/14125247275 | BMC Sakinaka Sewage Water Pumping Station | pumping_station | 19.10721 72.88502 | admin_level= | operator=MCGM
  node/14125247276 | BMC Perubaug Sewage Water Pumping Station | pumping_station | 19.13767 72.90427 | admin_level= | operator=MCGM
  node/14125247277 | BMC BUDP Sewage Water Pumping Station | pumping_station | 19.16802 72.96675 | admin_level= | operator=MCGM
  node/14125247278 | BMC Versova Village Sewage Water Pumping Station | pumping_station | 19.13847 72.80610 | admin_level= | operator=
  node/14125247279 | BMC Malvani Sewage Water Pumping Station | pumping_station | 19.18053 72.81954 | admin_level= | operator=MCGM
  node/14125247280 | BMC Charkop Sewage Water Pumping Station | pumping_station | 19.21454 72.83718 | admin_level= | operator=MCGM
  node/14125247281 | BMC Vallabhnagar Sewage Water Pumping Station | pumping_station | 19.24436 72.84497 | admin_level= | operator=MCGM
  way/115628091 | F/N BMC Ward Office |  | 19.02656 72.85427 | admin_level= | operator=
  way/220302517 | BMC Influent Sewage Water Pumping Station | pumping_station | 19.04659 72.83735 | admin_level= | operator=MCGM
  way/236596240 | BMC Ward Office |  | 19.02996 72.85427 | admin_level= | operator=
  way/250281482 | Water pumping station |  | 19.04248 72.92775 | admin_level= | operator=
  way/310812690 | BMC Pumping station Building no 1 |  | 19.11848 72.82295 | admin_level= | operator=
  way/352801523 | Gorai Pumping Station | pumping_station | 19.22408 72.83454 | admin_level= | operator=
  way/353423443 | Merry Weather Pumping Station |  | 18.91948 72.83178 | admin_level= | operator=
  way/353424820 | BMC L Ward Office |  | 19.07054 72.87890 | admin_level= | operator=
  way/353757968 | BMC G South Ward Office |  | 19.00831 72.83047 | admin_level=4 | operator=
  way/356450738 | H W Ward Office |  | 19.05637 72.83556 | admin_level= | operator=
  way/430223751 | BMC Sant Gadge Maharaj Chowk Sewage Water Pumping Station | pumping_station | 18.98092 72.82666 | admin_level= | operator=MCGM
  way/909478803 | Danda Stormwater Pumping Station | wastewater_plant | 19.07862 72.82541 | admin_level= | operator=
